member,epoch,train_log_prob,val_log_prob
0,0,0.213940,1.967298
0,1,2.394308,2.881207
0,2,3.142564,3.238274
0,3,3.667130,3.943129
0,4,4.218919,4.498537
0,5,4.696234,5.046961
0,6,5.178221,5.453313
0,7,5.391499,5.648980
0,8,5.621329,5.765820
0,9,5.809412,5.868771
0,10,5.925947,5.819093
0,11,6.031419,6.041398
0,12,6.066423,5.973661
0,13,6.294033,6.160294
0,14,6.350867,6.205480
0,15,6.468083,6.162271
0,16,6.434283,6.263342
0,17,6.594594,6.347055
0,18,6.657113,6.305246
0,19,6.725837,6.438789
0,20,6.758042,6.320476
0,21,6.826522,6.567284
0,22,6.973065,6.590082
0,23,6.917646,6.421418
0,24,6.990570,6.413635
0,25,6.824709,6.488005
0,26,6.932943,6.391822
0,27,7.024265,6.647322
0,28,7.119020,6.767643
0,29,7.178775,6.646947
0,30,7.282228,6.849918
0,31,7.327942,6.934768
0,32,7.315404,6.401330
0,33,7.292835,6.822936
0,34,7.405490,6.798480
0,35,7.506003,6.694432
0,36,7.553095,6.826599
0,37,7.602916,6.863009
0,38,7.580138,6.765657
0,39,7.640183,6.800249
0,40,7.626198,6.858277
0,41,7.752209,6.923811
0,42,7.772821,6.754972
0,43,7.839312,6.742864
0,44,7.852652,6.938744
0,45,7.938235,6.822434
0,46,8.014050,6.790728
0,47,7.989560,6.822645
0,48,8.018837,6.807779
0,49,8.047076,6.724104
0,50,8.065997,6.766965
0,51,8.105959,6.852848
0,52,8.141283,6.780800
0,53,8.127032,6.744692
0,54,8.169383,6.740591
0,55,8.183498,6.761326
0,56,8.241607,6.750689
0,57,8.211203,6.734561
0,58,8.256617,6.725698
0,59,8.259847,6.709337
0,60,8.263039,6.651794
0,61,8.282879,6.702348
0,62,8.296825,6.633461
0,63,8.318970,6.626143
0,64,8.309472,6.543642
0,65,8.319875,6.644555
0,66,8.365820,6.722639
0,67,8.383928,6.673000
0,68,8.396635,6.643854
0,69,8.407672,6.634661
0,70,8.414512,6.613292
0,71,8.413334,6.593246
0,72,8.424924,6.562195
0,73,8.430703,6.556162
0,74,8.435066,6.540566
1,0,0.167591,2.002451
1,1,2.384872,2.929581
1,2,3.142299,3.221860
1,3,3.629577,3.918331
1,4,4.204043,4.452862
1,5,4.712845,5.014582
1,6,5.204305,5.506558
1,7,5.563553,5.693419
1,8,5.592040,5.693836
1,9,5.754699,5.751565
1,10,5.930801,5.802011
1,11,6.034190,5.902305
1,12,6.143577,5.946394
1,13,6.214096,6.017942
1,14,6.292673,6.221946
1,15,6.307581,6.003617
1,16,6.485979,6.333225
1,17,6.499402,6.285714
1,18,6.616745,6.446985
1,19,6.629562,6.488803
1,20,6.746872,6.347048
1,21,6.699041,6.649554
1,22,6.807008,6.629307
1,23,6.877538,6.498125
1,24,6.975328,6.539773
1,25,7.011354,6.667192
1,26,7.066440,6.725787
1,27,7.071824,6.667731
1,28,7.192828,6.704419
1,29,7.236550,6.704790
1,30,7.241202,6.764812
1,31,7.252100,6.605325
1,32,7.194939,6.694977
1,33,7.209042,6.708086
1,34,7.343780,6.733670
1,35,7.414447,6.957971
1,36,7.512663,6.962433
1,37,7.583518,6.822369
1,38,7.578531,6.792507
1,39,7.614325,6.682800
1,40,7.540419,6.640007
1,41,7.632337,6.985877
1,42,7.708135,6.757626
1,43,7.706655,6.860223
1,44,7.785241,6.882449
1,45,7.833181,6.835800
1,46,7.799414,6.963292
1,47,7.868008,6.713907
1,48,7.856667,6.941264
1,49,7.867512,6.814127
1,50,7.856421,7.043843
1,51,7.892278,6.866710
1,52,8.005750,6.807382
1,53,8.006740,6.829867
1,54,7.948285,6.849786
1,55,8.022383,6.803564
1,56,8.119818,6.880621
1,57,8.158663,6.797174
1,58,8.061136,6.918852
1,59,8.209633,6.911639
1,60,8.149732,6.964547
1,61,8.166267,6.904838
1,62,8.239183,6.870420
1,63,8.270742,6.961355
1,64,8.361203,6.902277
1,65,8.355513,6.945725
1,66,8.417308,7.058361
1,67,8.459158,6.957047
1,68,8.438417,6.990839
1,69,8.459215,6.988489
1,70,8.471434,7.054664
1,71,8.506059,6.975681
1,72,8.509041,6.917902
1,73,8.550915,7.051989
1,74,8.568940,7.009198
1,75,8.590539,7.006363
1,76,8.614953,6.864784
1,77,8.622253,6.867996
1,78,8.679603,6.948271
1,79,8.688193,6.960717
1,80,8.718886,6.927866
1,81,8.709508,6.923738
1,82,8.741500,6.861107
1,83,8.704555,6.977848
1,84,8.750371,6.913482
1,85,8.747388,6.893173
1,86,8.771226,6.936073
1,87,8.789928,6.943064
1,88,8.811694,6.909189
1,89,8.833844,6.927462
1,90,8.836863,6.898029
1,91,8.819715,6.835390
1,92,8.844944,6.888920
1,93,8.852394,6.883933
1,94,8.851058,6.896317
1,95,8.867831,6.858850
1,96,8.859526,6.876142
2,0,0.192453,2.008496
2,1,2.437932,2.913679
2,2,3.118757,3.196517
2,3,3.613820,3.888556
2,4,4.144724,4.384185
2,5,4.587644,4.909613
2,6,5.083650,5.364906
2,7,5.439838,5.570589
2,8,5.561808,5.668998
2,9,5.771567,5.811965
2,10,5.906958,5.885295
2,11,6.021487,5.915253
2,12,6.206412,6.016990
2,13,6.146459,5.949308
2,14,6.239990,6.022810
2,15,6.375546,6.073782
2,16,6.433083,6.012524
2,17,6.483350,6.146121
2,18,6.501305,6.278162
2,19,6.633567,6.110981
2,20,6.603420,6.419258
2,21,6.684329,6.334106
2,22,6.773008,6.328992
2,23,6.878165,6.404670
2,24,6.811220,6.376877
2,25,6.974400,6.380588
2,26,6.996145,6.399560
2,27,6.901213,6.300737
2,28,7.056378,6.567223
2,29,7.120333,6.304162
2,30,7.135973,6.487021
2,31,7.232089,6.542740
2,32,7.248348,6.675734
2,33,7.225060,6.289834
2,34,6.902030,6.687263
2,35,7.256209,6.611794
2,36,7.389337,6.796171
2,37,7.385307,6.701483
2,38,7.480571,6.633096
2,39,7.468932,6.636422
2,40,7.475229,6.838394
2,41,7.652161,6.650891
2,42,7.535225,6.853908
2,43,7.633525,6.593104
2,44,7.615625,6.800993
2,45,7.660562,6.716314
2,46,7.740823,6.751052
2,47,7.721491,6.568405
2,48,7.762207,6.774724
2,49,7.884245,6.770336
2,50,7.853973,6.714097
2,51,7.858054,6.966176
2,52,7.925929,6.719369
2,53,7.954312,6.735344
2,54,8.058152,6.373242
2,55,7.813950,6.986576
2,56,8.103529,6.860590
2,57,8.158935,7.009297
2,58,8.183015,6.592338
2,59,8.179257,6.785684
2,60,8.135114,6.775061
2,61,8.213853,6.748315
2,62,8.059786,6.812435
2,63,8.295420,7.034315
2,64,8.265426,6.694508
2,65,8.349388,7.023768
2,66,8.366516,6.822364
2,67,8.388472,6.618896
2,68,8.287951,6.583572
2,69,8.250409,6.671993
2,70,8.295440,6.731548
2,71,8.289539,6.661626
2,72,8.342674,6.568097
2,73,8.459711,6.857727
2,74,8.474269,6.344646
2,75,8.476635,6.706177
2,76,8.618976,6.677458
2,77,8.674014,6.457039
2,78,8.669667,6.411108
2,79,8.713154,6.703328
2,80,8.711193,6.365141
2,81,8.744191,6.399673
2,82,8.756283,6.377079
2,83,8.751984,6.579598
2,84,8.791383,6.443489
2,85,8.784425,6.428007
2,86,8.854789,6.512761
2,87,8.876342,6.376952
2,88,8.900054,6.441051
2,89,8.916454,6.213850
2,90,8.898411,6.375689
2,91,8.893538,6.363083
2,92,8.919614,6.197944
2,93,8.922213,6.182759
3,0,0.118765,1.990950
3,1,2.421032,2.928107
3,2,3.178468,3.258676
3,3,3.700937,3.963931
3,4,4.255328,4.515307
3,5,4.737859,5.045525
3,6,5.196469,5.535289
3,7,5.430662,5.546232
3,8,5.636109,5.611934
3,9,5.649107,5.621229
3,10,5.839838,5.904734
3,11,5.850982,5.650216
3,12,5.927673,5.657187
3,13,5.964141,5.844417
3,14,6.129273,6.009408
3,15,6.316027,6.165113
3,16,6.388188,6.120156
3,17,6.430886,6.306126
3,18,6.579214,6.385029
3,19,6.575295,6.453961
3,20,6.683778,6.372663
3,21,6.775573,6.420784
3,22,6.822932,6.352584
3,23,6.824892,6.446429
3,24,6.918128,6.549593
3,25,6.991770,6.556516
3,26,7.021293,6.498855
3,27,7.052701,6.551838
3,28,7.102908,6.723576
3,29,7.196728,6.615999
3,30,7.260611,6.695583
3,31,7.289800,6.689069
3,32,7.385766,6.823053
3,33,7.402997,6.730521
3,34,7.366936,6.805375
