member,epoch,train_log_prob,val_log_prob
0,0,0.195903,1.933979
0,1,2.350582,2.865548
0,2,3.089962,3.160706
0,3,3.595583,3.859759
0,4,4.132182,4.340576
0,5,4.630867,4.914654
0,6,5.105323,5.115992
0,7,5.172618,5.443447
0,8,5.510138,5.544650
0,9,5.707708,5.730665
0,10,5.796872,5.684052
0,11,5.956639,5.799119
0,12,5.960783,5.832097
0,13,6.153240,5.912081
0,14,6.160489,5.842446
0,15,6.300044,6.001973
0,16,6.321218,6.044751
0,17,6.434290,5.925537
0,18,6.417852,6.073324
0,19,6.557756,6.128712
0,20,6.629318,6.158745
0,21,6.668752,6.245789
0,22,6.674921,5.973521
0,23,6.715918,6.247052
0,24,6.710181,6.151750
0,25,6.780966,6.299895
0,26,6.841649,6.274124
0,27,6.919566,6.338462
0,28,6.934051,6.242327
0,29,7.078181,6.215242
0,30,7.094741,6.406934
0,31,7.098619,6.148674
0,32,7.101284,6.208015
0,33,7.208034,6.383823
0,34,7.223972,6.100048
0,35,7.256493,5.952943
0,36,7.299886,6.349206
0,37,7.391550,6.396567
0,38,7.434995,6.458093
0,39,7.521936,6.426908
0,40,7.508587,6.011657
0,41,7.452171,6.022393
0,42,7.538537,6.261947
0,43,7.480597,6.179478
0,44,7.487124,6.131781
0,45,7.601537,6.590520
0,46,7.710985,6.318078
0,47,7.654573,6.251140
0,48,7.739338,6.144392
0,49,7.740066,5.924777
0,50,7.642469,6.546577
0,51,7.756204,6.055749
0,52,7.832363,6.428659
0,53,7.864915,6.335962
0,54,7.854154,6.246817
0,55,7.815567,6.374782
0,56,7.868864,6.202902
0,57,8.009580,6.549492
0,58,8.061959,6.265453
0,59,8.103053,6.298989
0,60,8.102856,6.216703
0,61,8.162238,6.005585
0,62,8.145841,6.288043
0,63,8.177693,6.081894
0,64,8.197081,6.020305
0,65,8.229266,6.226659
0,66,8.259898,6.226927
0,67,8.211424,5.968800
0,68,8.289326,6.165635
0,69,8.315471,6.069855
0,70,8.318754,5.978944
0,71,8.337128,6.044706
0,72,8.345151,6.126653
0,73,8.347429,6.102313
0,74,8.367109,6.187815
0,75,8.372927,6.004119
1,0,0.136138,1.960083
1,1,2.363356,2.912959
1,2,3.100456,3.133228
1,3,3.560688,3.833774
1,4,4.146893,4.355369
1,5,4.687865,5.007557
1,6,5.162717,5.440010
1,7,5.416502,5.179166
1,8,5.398961,5.493989
1,9,5.665693,5.681867
1,10,5.809477,5.786106
1,11,5.941276,5.667529
1,12,6.020915,5.903510
1,13,6.091670,5.825422
1,14,6.125495,5.926200
1,15,6.246612,6.072558
1,16,6.347513,6.081857
1,17,6.424609,6.032500
1,18,6.557394,6.197943
1,19,6.659101,6.184797
1,20,6.716532,6.099776
1,21,6.725306,5.967242
1,22,6.725116,6.195479
1,23,6.765310,6.185451
